Subprefecture,Population,IDHM,IDHM_Income,Sidewalk_Tickets
ARICANDUVA-FORMOSA-CARRAO,265543,0.82,0.831,485
BUTANTA,454048,0.86,0.932,740
CAMPO LIMPO,673432,0.78,0.81,639
CAPELA DO SOCORRO,622021,0.75,0.745,510
CASA VERDE-CACHOEIRINHA,311264,0.8,0.792,434
CIDADE ADEMAR,439912,0.76,0.771,348
CIDADE TIRADENTES,230610,0.71,0.67,110
ERMELINO MATARAZZO,208334,0.78,0.747,174
FREGUESIA-BRASILANDIA,419142,0.76,0.748,458
GUAIANASES,280851,0.71,0.681,164
IPIRANGA,484995,0.82,0.839,572
ITAIM PAULISTA,385051,0.73,0.691,213
ITAQUERA,549220,0.76,0.737,540
JABAQUARA,228281,0.82,0.845,254
JACANA-TREMEMBE,242705,0.77,0.758,587
LAPA,503164,0.91,0.976,623
M'BOI MIRIM,230921,0.72,0.7,449
MOOCA,357773,0.87,0.907,828
PARELHEIROS,157478,0.68,0.664,99
PENHA,473549,0.8,0.786,651
PERUS,168743,0.73,0.698,121
PINHEIROS,492612,0.94,1,1152
PIRITUBA-JARAGUA,586649,0.79,0.774,465
SANTANA-TUCURUVI,320091,0.87,0.898,608
SANTO AMARO,244053,0.91,0.986,559
SAO MATEUS,457122,0.73,0.712,271
SAO MIGUEL,325052,0.74,0.705,319
SAPOPEMBA,288801,0,0,298
SE,455427,0.89,0.947,1382
VILA MARIANA,294946,0.94,1,823
VILA MARIA-VILA GUILHERME,354266,0.79,0.787,464
VILA PRUDENTE,247603,0.79,0.773,330
